model_name,image_path,image_name,target_words,final_explored_prob,final_target_prob,final_estimate_prob,paths_generated,runtime
LlaVA 7B,./dataset_vlm_0328_chosen\33.jpg,33.jpg,['mouse'],0.3454473948594488,0.0020398826199535206,0.005905045602626361,50,899.8951222896576
LlaVA 7B,./dataset_vlm_0328_chosen\34.jpg,34.jpg,['mouse'],0.25967669790092657,0.0030230690170958596,0.011641664583432278,50,889.2500455379486
LlaVA 7B,./dataset_vlm_0328_chosen\35.jpg,35.jpg,['mouse'],0.3014730410675703,0.005204269537020777,0.017262802400478405,50,931.5705177783966
LlaVA 7B,./dataset_vlm_0328_chosen\36.jpg,36.jpg,['mouse'],0.33167628144455946,0.002824504102058876,0.008515845901784808,50,917.807196855545
LlaVA 13B,./dataset_vlm_0328_chosen\33.jpg,33.jpg,['mouse'],0.2719919538607498,0.007032303856913151,0.02585482311919212,50,1582.2761631011963
LlaVA 13B,./dataset_vlm_0328_chosen\34.jpg,34.jpg,['mouse'],0.17717430928006206,0.008870353461086049,0.05006568670779774,50,1615.9954288005829
LlaVA 13B,./dataset_vlm_0328_chosen\35.jpg,35.jpg,['mouse'],0.270384092306821,0.006140524401045471,0.022710376001253252,50,1713.485923051834
LlaVA 13B,./dataset_vlm_0328_chosen\36.jpg,36.jpg,['mouse'],0.33598465381110704,0.00825677055993723,0.024574844315893206,50,1679.1333951950073
